"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Nebraska","31","2005","2005",129,1761497,7.323
,"Nebraska","31","2006","2006",131,1772693,7.390
,"Nebraska","31","2007","2007",92,1783440,5.159
,"Nebraska","31","2008","2008",113,1796378,6.290
,"Nebraska","31","2009","2009",118,1812683,6.510
,"Nebraska","31","2010","2010",130,1826341,7.118
,"Nebraska","31","2011","2011",148,1842641,8.032
,"Nebraska","31","2012","2012",154,1855525,8.300
,"Nebraska","31","2013","2013",137,1868516,7.332
,"Nebraska","31","2014","2014",140,1881503,7.441
,"Nebraska","31","2015","2015",139,1896190,7.330
,"Nebraska","31","2016","2016",146,1907116,7.656
,"Nebraska","31","2017","2017",163,1920076,8.489
,"Nebraska","31","2018","2018",171,1929268,8.863
"Total","Nebraska","31",,,2321,36206035,6.411
,"Nevada","32","1999","1999",236,1934718,12.198
,"Nevada","32","2000","2000",281,1998257,14.062
,"Nevada","32","2001","2001",268,2098399,12.772
,"Nevada","32","2002","2002",332,2173791,15.273
,"Nevada","32","2003","2003",350,2248850,15.564
,"Nevada","32","2004","2004",395,2346222,16.836
,"Nevada","32","2005","2005",464,2432143,19.078
,"Nevada","32","2006","2006",471,2522658,18.671
,"Nevada","32","2007","2007",515,2601072,19.800
,"Nevada","32","2008","2008",529,2653630,19.935
,"Nevada","32","2009","2009",555,2684665,20.673
,"Nevada","32","2010","2010",581,2700551,21.514
,"Nevada","32","2011","2011",642,2723322,23.574
,"Nevada","32","2012","2012",611,2758931,22.146
,"Nevada","32","2013","2013",622,2790136,22.293
,"Nevada","32","2014","2014",555,2839099,19.548
,"Nevada","32","2015","2015",629,2890845,21.758
,"Nevada","32","2016","2016",678,2940058,23.061
,"Nevada","32","2017","2017",698,2998039,23.282
,"Nevada","32","2018","2018",712,3034392,23.464
"Total","Nevada","32",,,10124,51369778,19.708
,"New Hampshire","33","1999","1999",62,1222014,5.074
,"New Hampshire","33","2000","2000",49,1235786,3.965
,"New Hampshire","33","2001","2001",83,1255517,6.611
,"New Hampshire","33","2002","2002",114,1269089,8.983
,"New Hampshire","33","2003","2003",137,1279840,10.704
,"New Hampshire","33","2004","2004",128,1290121,9.922
,"New Hampshire","33","2005","2005",152,1298492,11.706
,"New Hampshire","33","2006","2006",160,1308389,12.229
,"New Hampshire","33","2007","2007",187,1312540,14.247
,"New Hampshire","33","2008","2008",129,1315906,9.803
,"New Hampshire","33","2009","2009",172,1316102,13.069
,"New Hampshire","33","2010","2010",164,1316470,12.458
