payor_plan_id,payor_plan,payor_plan_var
13670081,ACIPHEX/EISAI,
13670187,ACIPHEX INSTANT SAVINGS/EISAI,
7002390001,ACLAIM INC (PROC-UNSP),
15070001,ACLAIM RXSAVINGS MED DISC CARD,
26510001,ACME BRICK (TX),
43680001,ACOSTA INC,
43840001,ACTIVISION BLIZZARD,
13670003,ACTONEL/ALLERGAN,
13670192,ACTOS/TAKEDA,
13670156,ACULAR LS/ALLERGAN,
36660001,ACUMENT GLOBAL TECHNOLOGIES,
13670177,ACUVAIL/ALLERGAN,
13670167,ACZONE/ALLERGAN,
13670054,ADDERALL XR/SHIRE,
36420001,ADELPHIA UNIVERSITY (NY),
44970001,ADIENT USA LLC,
39960001,ADIPEX-P DISC CARD,
35070001,ADT INC,
13670028,ADVAIR DISKUS/GSK,
13670446,ADVAIR FREE TRIAL/GSK,
39800001,ADVANCE AUTO PARTS,
24560001,ADVANCED BENEFIT SOLUTIONS,
44660001,ADVANCED DISPOSAL SRVC,
7000360007,ADVANCEPCS PLAN 0007,
7000360008,ADVANCEPCS PLAN 0008,
7000360009,ADVANCEPCS PLAN 0009,
7000360013,ADVANCEPCS PLAN 0013,
7000360023,ADVANCEPCS PLAN 0023,
7000360025,ADVANCEPCS PLAN 0025,
7000360034,ADVANCEPCS PLAN 0034,
7000360035,ADVANCEPCS PLAN 0035,
7000360036,ADVANCEPCS PLAN 0036,
7000360037,ADVANCEPCS PLAN 0037,
7000360038,ADVANCEPCS PLAN 0038,
7000360039,ADVANCEPCS PLAN 0039,
7000360041,ADVANCEPCS PLAN 0041,
7000360049,ADVANCEPCS PLAN 0049,
7000360054,ADVANCEPCS PLAN 0054,
7000360055,ADVANCEPCS PLAN 0055,
7000360061,ADVANCEPCS PLAN 0061,
7000360062,ADVANCEPCS PLAN 0062,
7000360064,ADVANCEPCS PLAN 0064,
7000360067,ADVANCEPCS PLAN 0067,
7000360068,ADVANCEPCS PLAN 0068,
7000360069,ADVANCEPCS PLAN 0069,
7000360070,ADVANCEPCS PLAN 0070,
7000360073,ADVANCEPCS PLAN 0073,
7000360074,ADVANCEPCS PLAN 0074,
7000360076,ADVANCEPCS PLAN 0076,
7000360080,ADVANCEPCS PLAN 0080,
7000360081,ADVANCEPCS PLAN 0081,
7000360082,ADVANCEPCS PLAN 0082,
7000360084,ADVANCEPCS PLAN 0084,
7000360097,ADVANCEPCS PLAN 0097,
7000360098,ADVANCEPCS PLAN 0098,
7000360100,ADVANCEPCS PLAN 0100,
7000360103,ADVANCEPCS PLAN 0103,
7000360104,ADVANCEPCS PLAN 0104,
7000360107,ADVANCEPCS PLAN 0107,
7000360109,ADVANCEPCS PLAN 0109,
7000360111,ADVANCEPCS PLAN 0111,
7000360112,ADVANCEPCS PLAN 0112,
7000360116,ADVANCEPCS PLAN 0116,
7000360119,ADVANCEPCS PLAN 0119,
7000360123,ADVANCEPCS PLAN 0123,
7000360124,ADVANCEPCS PLAN 0124,
7000360125,ADVANCEPCS PLAN 0125,
7000360127,ADVANCEPCS PLAN 0127,
7000360129,ADVANCEPCS PLAN 0129,
7000360130,ADVANCEPCS PLAN 0130,
7000360131,ADVANCEPCS PLAN 0131,
7000360132,ADVANCEPCS PLAN 0132,
7000360135,ADVANCEPCS PLAN 0135,
7000360137,ADVANCEPCS PLAN 0137,
7000360139,ADVANCEPCS PLAN 0139,
7000360141,ADVANCEPCS PLAN 0141,
7000360142,ADVANCEPCS PLAN 0142,
7000360146,ADVANCEPCS PLAN 0146,
7000360148,ADVANCEPCS PLAN 0148,
7000360151,ADVANCEPCS PLAN 0151,
7000360158,ADVANCEPCS PLAN 0158,
7000360160,ADVANCEPCS PLAN 0160,
7000360161,ADVANCEPCS PLAN 0161,
7000360162,ADVANCEPCS PLAN 0162,
7000360165,ADVANCEPCS PLAN 0165,
7000360166,ADVANCEPCS PLAN 0166,
7000360167,ADVANCEPCS PLAN 0167,
7000360170,ADVANCEPCS PLAN 0170,
7000360171,ADVANCEPCS PLAN 0171,
7000360173,ADVANCEPCS PLAN 0173,
7000360177,ADVANCEPCS PLAN 0177,
7000360181,ADVANCEPCS PLAN 0181,
7000360184,ADVANCEPCS PLAN 0184,
7000360187,ADVANCEPCS PLAN 0187,
7000360188,ADVANCEPCS PLAN 0188,
7000360189,ADVANCEPCS PLAN 0189,
7000360190,ADVANCEPCS PLAN 0190,
7000360191,ADVANCEPCS PLAN 0191,
7000360192,ADVANCEPCS PLAN 0192,
7000360194,ADVANCEPCS PLAN 0194,
7000360198,ADVANCEPCS PLAN 0198,
7000360199,ADVANCEPCS PLAN 0199,
7000360208,ADVANCEPCS PLAN 0208,
7000360209,ADVANCEPCS PLAN 0209,
7000360211,ADVANCEPCS PLAN 0211,
7000360216,ADVANCEPCS PLAN 0216,
7000360217,ADVANCEPCS PLAN 0217,
7000360220,ADVANCEPCS PLAN 0220,
7000360221,ADVANCEPCS PLAN 0221,
7000360227,ADVANCEPCS PLAN 0227,
